seed_keyword,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01
Four-day week,320320.0,263660.0,225380.0,227980.0,271570.0,275720.0,263950.0,162160.0,271760.0,271250.0,436600.0,367460.0,260990.0,222740.0,272180.0,330190.0,438400.0,183810.0,215840.0,519870.0,423990.0,288350.0,292830.0,296230.0
Flexible work,410060.0,401000.0,393430.0,420770.0,435600.0,449390.0,439710.0,368170.0,506340.0,469110.0,456390.0,548890.0,491840.0,518910.0,498630.0,488780.0,523310.0,534620.0,462850.0,406200.0,513300.0,478450.0,506550.0,496460.0
Work stress,391130.0,293270.0,274350.0,270710.0,289330.0,333590.0,324650.0,233750.0,283440.0,302190.0,323480.0,329850.0,382790.0,260180.0,252570.0,231740.0,274160.0,302560.0,291750.0,213630.0,244060.0,252150.0,298020.0,256440.0
Exhaustion,4516830.0,4956320.0,4947670.0,4293250.0,3859770.0,3395970.0,3129870.0,3071190.0,3516480.0,3522430.0,3810590.0,4552930.0,5289750.0,5495070.0,4919970.0,4114800.0,3391320.0,3220200.0,2770910.0,2641650.0,3012470.0,2819920.0,3468480.0,3559690.0
Liberation,673000.0,673000.0,673000.0,673000.0,673000.0,823000.0,673000.0,673000.0,673000.0,673000.0,673000.0,673000.0,673000.0,1000000.0,1000000.0,673000.0,673000.0,673000.0,673000.0,673000.0,673000.0,550000.0,673000.0,673000.0
Empowerment,294190.0,289090.0,260090.0,277360.0,305580.0,304220.0,290630.0,240420.0,278130.0,303240.0,286690.0,271810.0,291880.0,277510.0,233510.0,228160.0,257800.0,282870.0,249350.0,208400.0,242120.0,215500.0,261170.0,232550.0
Bare minimum,63380.0,63380.0,63290.0,63790.0,63880.0,63790.0,63880.0,64280.0,78320.0,63880.0,64120.0,63990.0,63880.0,63380.0,63490.0,63490.0,63620.0,63490.0,52290.0,52220.0,63220.0,63220.0,63220.0,63160.0
Lazy girl jobs,,,,,,,,,,,,,,,,,,,,,,,,
Financial independence,179420.0,179320.0,187850.0,188700.0,179210.0,179870.0,186070.0,188620.0,245040.0,213790.0,230490.0,229080.0,235960.0,237250.0,213790.0,197280.0,220470.0,207880.0,189490.0,199190.0,236160.0,216810.0,237250.0,210330.0
FIRE movement,59670.0,62410.0,59280.0,59720.0,59210.0,50860.0,52100.0,52850.0,76100.0,59900.0,82160.0,63100.0,76410.0,89060.0,68780.0,58750.0,60160.0,56450.0,49320.0,51650.0,60410.0,52890.0,50880.0,74650.0
Time poverty,25560.0,20560.0,20600.0,21030.0,25470.0,26040.0,25980.0,21360.0,21810.0,21500.0,26360.0,22310.0,21910.0,17370.0,20490.0,14970.0,17920.0,21390.0,21690.0,18030.0,17780.0,14950.0,21680.0,18960.0
Well-being economy,2920.0,2280.0,1940.0,2320.0,3440.0,3420.0,3490.0,2320.0,2840.0,4210.0,3460.0,3430.0,2840.0,2240.0,1890.0,2200.0,3320.0,2770.0,2200.0,1520.0,1900.0,2770.0,2740.0,2190.0
Ethical work,525460.0,441200.0,376540.0,434820.0,466820.0,466670.0,451880.0,361410.0,521280.0,540640.0,457630.0,444860.0,435710.0,355930.0,363540.0,419100.0,427590.0,430700.0,363130.0,296810.0,427890.0,367760.0,370240.0,347280.0
Value alignment,1250.0,890.0,910.0,970.0,1030.0,1240.0,1180.0,970.0,1220.0,1260.0,1260.0,1240.0,1260.0,980.0,940.0,890.0,1020.0,1200.0,1190.0,950.0,1020.0,990.0,1170.0,990.0
